ID,poNumber,supplier_ID,orderDate,status,totalAmount,createdAt,createdBy,modifiedAt,modifiedBy
23107249-71b1-4455-94d3-8b70cf59e999,poNumber-23107249,16393584-81bd-4021-8080-0e93eca5b379,2022-09-09,status-23107249,6811758416182.69,2005-01-12T00:00:00.000Z,createdBy.dr9o1@example.com,2018-12-29T00:00:00.000Z,modifiedBy.dr9o1@example.org
23107250-4fc5-4270-b1ef-a90d3236d22c,poNumber-23107250,16393584-81bd-4021-8080-0e93eca5b379,2008-11-18,status-23107250,19979813423.84,2003-01-08T00:00:00.000Z,createdBy.dr9o2@example.com,2017-01-25T00:00:00.000Z,modifiedBy.dr9o2@example.com
23107251-2028-48b4-97c2-61074b5d1e4b,poNumber-23107251,16393584-81bd-4021-8080-0e93eca5b379,2012-08-03,status-23107251,8789295437388.32,2011-02-21T00:00:00.000Z,createdBy.dr9o3@example.org,2006-06-21T00:00:00.000Z,modifiedBy.dr9o3@example.org
23107252-26ff-4c94-b864-235ee4cfc5f5,poNumber-23107252,16393584-81bd-4021-8080-0e93eca5b379,2002-12-09,status-23107252,5433826336784.01,2001-03-22T00:00:00.000Z,createdBy.dr9o4@example.org,2004-06-17T00:00:00.000Z,modifiedBy.dr9o4@example.com
23107253-d1b9-4a07-9160-564877ddbc1a,poNumber-23107253,16393584-81bd-4021-8080-0e93eca5b379,2005-01-20,status-23107253,7972050668356.7,2011-12-11T00:00:00.000Z,createdBy.dr9o5@example.org,2021-10-24T00:00:00.000Z,modifiedBy.dr9o5@example.org
23107254-d774-485f-9396-4ffd7b223ad1,poNumber-23107254,16393584-81bd-4021-8080-0e93eca5b379,2006-02-09,status-23107254,3800218293473.63,2016-11-17T00:00:00.000Z,createdBy.dr9o6@example.com,2005-06-16T00:00:00.000Z,modifiedBy.dr9o6@example.net
23107255-fa57-4f2b-ad37-82ad1eccbd59,poNumber-23107255,16393584-81bd-4021-8080-0e93eca5b379,2009-08-13,status-23107255,1085991780100.14,2001-10-12T00:00:00.000Z,createdBy.dr9o7@example.com,2009-03-10T00:00:00.000Z,modifiedBy.dr9o7@example.net
23107256-6ce2-445e-8a1a-d9d4569f3fa4,poNumber-23107256,16393584-81bd-4021-8080-0e93eca5b379,2022-09-14,status-23107256,6085468736801.88,2010-02-24T00:00:00.000Z,createdBy.dr9o8@example.com,2018-10-04T00:00:00.000Z,modifiedBy.dr9o8@example.net
23107257-95df-49e7-9de3-d470930d5cb2,poNumber-23107257,16393584-81bd-4021-8080-0e93eca5b379,2022-11-23,status-23107257,856976233189.41,2012-05-28T00:00:00.000Z,createdBy.dr9o9@example.com,2005-08-23T00:00:00.000Z,modifiedBy.dr9o9@example.com
23107258-c605-4511-8c90-ba0b85769bb1,poNumber-23107258,16393584-81bd-4021-8080-0e93eca5b379,2011-12-16,status-23107258,6738049593568.23,2019-07-23T00:00:00.000Z,createdBy.dr9oa@example.com,2013-08-01T00:00:00.000Z,modifiedBy.dr9oa@example.net
23107259-e0e4-4573-84e6-18a4f313c78f,poNumber-23107259,16393584-81bd-4021-8080-0e93eca5b379,2009-05-18,status-23107259,9520953391492.47,2002-06-16T00:00:00.000Z,createdBy.dr9ob@example.org,2004-08-27T00:00:00.000Z,modifiedBy.dr9ob@example.org
23107260-b22d-481d-960f-7298b9b08486,poNumber-23107260,16393584-81bd-4021-8080-0e93eca5b379,2009-09-07,status-23107260,1302124789445.01,2000-08-29T00:00:00.000Z,createdBy.dr9oc@example.org,2005-06-14T00:00:00.000Z,modifiedBy.dr9oc@example.org
23107261-fe41-4453-880b-ebca72a6b293,poNumber-23107261,16393584-81bd-4021-8080-0e93eca5b379,2009-07-08,status-23107261,3405866619804.17,2001-09-11T00:00:00.000Z,createdBy.dr9od@example.org,2023-02-26T00:00:00.000Z,modifiedBy.dr9od@example.net
23107262-862a-478a-ae7d-9032561368dc,poNumber-23107262,16393584-81bd-4021-8080-0e93eca5b379,2008-11-21,status-23107262,4815087199689.7,2004-05-27T00:00:00.000Z,createdBy.dr9oe@example.net,2001-02-13T00:00:00.000Z,modifiedBy.dr9oe@example.org
23107263-f0fa-4ae3-8d8a-5c3e97d77abf,poNumber-23107263,16393584-81bd-4021-8080-0e93eca5b379,2006-05-06,status-23107263,5244210552684.29,2023-05-01T00:00:00.000Z,createdBy.dr9of@example.net,2002-11-14T00:00:00.000Z,modifiedBy.dr9of@example.net
23107264-da8c-4eda-b6b8-a473892e019c,poNumber-23107264,16393584-81bd-4021-8080-0e93eca5b379,2003-09-16,status-23107264,3818251643117.98,2007-03-20T00:00:00.000Z,createdBy.dr9og@example.org,2006-10-20T00:00:00.000Z,modifiedBy.dr9og@example.net
23107265-db80-49f3-9673-32e08a37a05d,poNumber-23107265,16393584-81bd-4021-8080-0e93eca5b379,2004-12-27,status-23107265,4280478412788.54,2012-06-25T00:00:00.000Z,createdBy.dr9oh@example.net,2006-12-05T00:00:00.000Z,modifiedBy.dr9oh@example.com
23107266-3e90-4cd9-9027-eaf23a8b3347,poNumber-23107266,16393584-81bd-4021-8080-0e93eca5b379,2000-05-11,status-23107266,1722309829701.01,2001-02-12T00:00:00.000Z,createdBy.dr9oi@example.org,2003-01-14T00:00:00.000Z,modifiedBy.dr9oi@example.net
23107267-a211-4559-a127-94a177214210,poNumber-23107267,16393584-81bd-4021-8080-0e93eca5b379,2013-10-20,status-23107267,4862275335279.98,2007-05-01T00:00:00.000Z,createdBy.dr9oj@example.com,2011-08-21T00:00:00.000Z,modifiedBy.dr9oj@example.org
23107268-5b26-4abc-b37f-380e7a94bc7b,poNumber-23107268,16393584-81bd-4021-8080-0e93eca5b379,2006-07-07,status-23107268,142082100048.63,2018-12-28T00:00:00.000Z,createdBy.dr9ok@example.com,2004-11-30T00:00:00.000Z,modifiedBy.dr9ok@example.com
